Nº,Equipo,Pts.,Pj,Pg,Pe,Pp,Gf,Gc,Df
1,Club América,30,13,9,3,1,29,8,21
2,Toluca FC,27,13,8,3,2,33,17,16
3,León,26,13,8,2,3,21,16,5
4,Tigres,25,13,8,1,4,20,12,8
5,Cruz Azul,25,13,7,4,2,19,11,8
6,Necaxa,24,13,8,0,5,28,21,7
7,Pachuca,21,13,6,3,4,22,18,4
8,FC Juárez,21,13,6,3,4,13,16,-3
9,CF Monterrey,19,13,5,4,4,25,20,5
10,Pumas UNAM,17,13,5,2,6,18,21,-3
11,Chivas,16,13,4,4,5,14,16,-2
12,Mazatlán,16,13,4,4,5,14,16,-2
13,Atlas,13,13,3,4,6,19,26,-7
14,Querétaro,13,13,4,1,8,11,20,-9
15,Atl. de San Luis,12,13,4,0,9,15,28,-13
16,Tijuana,10,13,3,1,9,20,32,-12
17,Puebla,8,13,2,2,9,12,22,-10
18,Santos Laguna,7,13,2,1,10,13,26,-13